页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,正负情感,子类目
2,4991578014484742,广州荔湾发布,2024-01-18 17:00:00,#荔湾播报#【假如《繁花》在长堤，将会是这样……】电视剧《繁花》的热播，引起观众对二十世纪八九十年代沪上光景的追溯。假如《繁花》的故事发生在广州，那么这个地方或许会是长堤。在老广州的历史中，这里曾是临江最繁荣的商业中心，粤海关大楼、南方大厦、广州新亚大酒店、十三行服装批发市场……各种中西合璧的地标建筑陆续沿岸拔起，形成一道独特的风景线。沿街霓虹辉映、流光溢彩，光影浮掠间，尽是迷人的繁华之景。详情：假如《繁花》在长堤，将会是这样……,1,1,3,,广州,广东,中国,积极,电视剧
2,4990831847015621,凤凰卫视,2024-01-16 15:35:00,【#香港海关侦破历来最大宗液态可卡因案#，贩毒集团将毒品液化伪装成白酒】香港港海关去年12月19日在葵涌海关大楼验货场检获约444公斤怀疑液态可卡因，为香港海关历来破获的最大宗液态可卡因案件。海关表示，经查验，在706箱中的37箱葡萄酒内，发现148包以透明胶袋包装的怀疑液态可卡因。据海关人员介绍，贩毒集团使用高明手法收藏毒品，首先将可卡因液化，伪装成白酒，同时使用与原装胶带同样的物料，制作手工精细的白酒包装，最后在同一个货楼中放置大量正常的餐酒和水果作掩饰，企图鱼目混珠。海关人员于1月13日和14日拘捕2名男子。案件仍在调查中，不排除有更多人被捕。（凤凰卫视卢熙文 香港报道）,5,0,5,,北京,北京,中国,积极,执法成效
2,4990828072403642,秋自由行,2024-01-16 15:20:00,吐槽一些细节： 1、外贸局在九十年代已经没有了，取而代之的是外经贸委，在外滩靠近苏州河一大片风景优美的风水宝地里，现在成了逼格很高的外滩源2、外滩27号也不是啥专门的外贸大楼，应该是五矿进出口公司，整个外滩除了海关大楼到处都是不同的外贸公司，改革开放后的外贸公司到了九三年后从鼎盛开始走向了下坡路，第一个标志是各大区县开始被允许设立外贸公司，从此打破了进出口渠道的垄断，而新成立的外贸公司由于完全不懂业务，为了抢夺生意不得不四处出击，通过让渡外贸经营许可，挖走很多了好多原先外贸公司的业务精英，结果导致原来的外贸公司生意大量流失，大量利润流入了那些业务精英口袋中，而区外贸只是收取了极其微弱的手续费，只到10年后私人允许直接经营外贸业务，去外贸这个过渡时期的怪物瞬间垮塌3、 范总这类的人物倒有点典型的，他们不停的出入于外贸公司，不停取悦于外贸公司内各阶层，但和黄河路没有半毛钱关系，在黄河路名气搞大无非在打桩模子圈内有点名而已，和外贸业务风马牛不相及4、 外贸业务和沪联商厦也没有任何交集，沪联搞的是零售，进货渠道自改革开放后慢慢扩大了各种渠道，但本来既供零售又要出口的厂家少而又少，两边的订单要求差距实在远，以至于在更以前出口转内销尽管是外贸不合格但内销了简直就是精品5、范总、麻老板根本赚不到一分美金，因为外贸是垄断的，收来的美金全归外贸公司，哪怕他们想给，你都无法开得出美金账户总的来说，编导按自己的人生经验想象了一段特殊时期的商业行为，难免显得不伦不类，不过文艺作品，不必太在意，看着开心就好,0,0,0,上海,上海,上海,中国,消极,历史事实
2,4990484680542441,北京日报都视频,2024-01-15 16:35:29,【香港海关检获市值约4.9亿港元疑似液态可卡因】香港海关1月15日公布，2023年12月19日在葵涌海关大楼验货场检获约444公斤疑似液态可卡因，市值约4.9亿港元。另有两名疑似涉案男子被捕。（央视新闻客户端） 北京日报都视频的微博视频 ,0,0,0,,北京,北京,中国,中性,社会新闻
2,4990221790484172,爱吃玉米不行吗,2024-01-14 23:10:51,最近尤其喜欢《上海的那头》，循环听是会流泪的那种喜欢，很温馨，很平淡，很烟火气，是上海这座城市的背面，也是底色。很细腻的：“时间它从来不骗人，像海关大楼的钟声”，是感觉到时间流速变快了，我们只能追赶着向前跑，钟声会准点响起。“钟声沉稳，那头是黄昏”。想起到上海的那天早晨，阳光照在大楼墙外，金光灿灿，很奇妙的，与我的想象没有重叠。上海的那头，是不再归还的记忆。,0,0,0,湖北,黄冈,湖北,中国,积极,音乐欣赏
2,4989735874864241,點新聞dotdotnews,2024-01-13 15:00:00,【香港海关检获约500万元怀疑濒危山瑞裙边 拘收货公司男董事】香港海关1月11日于葵涌海关大楼验货场检获约1400公斤怀疑属濒危物种的山瑞裙边，估计市值约500万元。海关拘捕一名怀疑涉案的63岁收货公司男董事。海关当日透过风险评估，拣选、查验一个从孟加拉抵港、报称载有海味的货柜。经查验后，海关人员在货柜内发现该批怀疑濒危山瑞裙边，预估市值500万元。目前案件仍在调查中，该名被捕男子现正保释候查。网页链接,0,0,0,,,香港,中国,消极,海关执法
2,4989489189751597,每天摸鱼三两只,2024-01-12 22:39:46,不知不觉海关大楼变区图书馆了…… ,0,0,0,安徽,合肥,安徽,中国,中性,建筑变更
2,4989384948451660,设计少女Tina,2024-01-12 15:45:33,néle azevedo最小的纪念碑 作为北爱尔兰女王节的一部分。数以百计的小冰人坐在海关大楼的台阶上，无精打采地悬着腿。这一艺术作品是为了纪念泰坦尼克号受害者，短暂的艺术作品表达短暂的生命的本质和死亡。  ,104,132,1185,浙江,杭州,浙江,中国,中性,艺术展览
2,4989088325702321,凹巴桑不跳广场舞2,2024-01-11 20:06:52,好友看繁花也是赞不绝口，他们在国外也是同步在追剧的，她看得实在是开心。正好这次回来到外滩走走，看看当年工作的时候一星期要去几次的海关大楼、纺织集团、贸促会，还在海关大楼留了影。我们没去黄河路，繁花黄河路是在松江影视城拍的，现在的黄河路实际上也没什么好看的，多的是尬闹猛的人。离开外滩，我们一路步行去福州路陪她买几本书带回去，我看她买的都是莫言的书📚。朋友的女儿出生在加拿大，中文不认识，普通话不会讲，好在他们家里人都讲上海话，她女儿上海话说得很好。我说我儿子土生土长上海人，不会说上海话，坍台欧。,0,1,0,上海,上海,上海,中国,积极,旅游体验
2,4988601437261317,童心未泯仍少年,2024-01-10 11:52:09,上海海关大楼乐曲变迁 ,0,0,2,福建,福州,福建,中国,中性,建筑变迁
