页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家, 从严治党
5,5048718041286538,漠上听歌,2024-06-24 09:14:04,学条例明党纪 夯实思想根基为深入学习领会习近平总书记关于全面加强党的纪律建设的重要论述精神，通过认真学习新修订的《中国共产党纪律处分条例》，让我深刻认识到这些修订充分体现了党中央关于全面加强党的建设、实现全面从严治党的决心和信心，认真开展党纪学习教育，是加强党的纪律建设、推动全面从严治党向纵深发展的重要举措。作为一名基层党员，通过学习明确日常言行的衡量标尺，常怀敬畏、严守纪律，自觉维护人民利益，永葆廉洁清白本色，虽然身处基层，但同样千万不可放松警惕，要坚守自己的信念，时刻严格要求自己，严格遵守党的规章制度，用党规党纪校正思想和行动，不断增强自我净化、自我完善、自我革新、自我提高能力。一、学纪为先，加强党性修养。共产党员的党性不是与生俱来的，锤炼党性修养不可能一劳永逸，必须在持续不断的党性教育中形成、保持和增强。党性修养的提高同时也是强化自我修炼、自我约束、自我改造的过程。学习《条例》，不仅是党纪学习教育中的一项重要内容，更是我们深化对党纪的认知、确保对党纪严格遵守的重要途径。广大党员干部通过学习全面学习领会习近平新时代中国特色社会主义思想，不断坚定对中国特色社会主义的信念、对实现中华民族伟大复兴中国梦的信心，自觉做共产主义远大理想和中国特色社会主义共同理想的坚定信仰者、忠实实践者。二、知纪于心，永葆清廉本色。党纪是党的生命线，是党的先进性和纯洁性的重要保证，是所有党员行为的底线。我作为一名基层党员，将时刻铭记党纪的要求，以党纪为准绳，严格要求自己，要以“高的站位”认识党纪学习教育，“扣好第一粒扣子”，夯实信仰根基，滋养精神之源，筑牢思想堤坝；要以“严的要求”践行党纪学习教育，牢固铭刻“不能腐、不敢腐、不想腐”的思想烙印；要以“实的作风”贯彻党纪学习教育，校准自己的行为准则，把自己摆进去、把工作摆进去、把职责摆进去，深刻进行自我检视，不断完善自我，做到学思用贯通、知信行合一，塑造忠诚干净担当的政治品格，坚守廉洁自律底线，将党的“六项纪律”作为“紧箍咒”，严格遵守组织纪律，时刻明晰公与私的“警戒线”、是与非的“高压线”、情与纪的“分界线”。三、明纪正身，提高履职能力。严防失职、渎职、怠政、懒政行为，保证党始终具有昂扬斗志。《条例》对于这些消极现象的惩处明显增加了管控的范围和惩处的力度，把纪律和规矩挺在前面，坚持实事求是，把从严管理监督和鼓励担当作为统一起来，更好激发广大党员、干部的积极性、主动性、创造性，营造明确党规党纪的目标和要求，清楚自己的职责和使命，时刻严明党的纪律，形成方向明确、是非明辨、公私分明的办事准则，把责任放在心、重任扛在身，不断提高自己的履职能力，聚焦到本职工作上，知责尽责、知重负重、攻坚克难，不断提高依规依纪依法履职能力，凝聚干事创业的精气神，在新征程上作出新贡献。,0,0,0,上海,上海,上海,中国, 从严治党
6,5048364712856373,廉洁上海,2024-06-23 09:50:04,【《中国纪检监察》杂志社论：大力惩治“蝇贪蚁腐”】人民是我们党执政的最大底气，是党和国家最深厚的根基。整治群众身边不正之风和腐败问题，是以习近平同志为核心的党中央推进全面从严治党的重大战略部署，是关乎老百姓切身利益的“国之大者”。守护人民群众获得感，让现代化建设成果更多更公平惠及全体人民，必须下大气力惩治“蝇贪蚁腐”。《中国纪检监察》杂志社论：大力惩治“蝇贪蚁腐” 《中国纪检监察》杂志社论：大力惩治“蝇贪蚁腐”,1,1,2,,上海,上海,中国, 从严治党
8,5047642889912648,阿超吃不胖,2024-06-21 10:01:47,开展党纪学习教育，是加强党的纪律建设、推动全面从严治党向纵深发展的重要举措。我们要深刻认识开展党纪学习教育的重大意义，将其作为重要政治任务，以良好作风保证党纪学习教育走深走实。我们要深刻认识开展党纪学习教育的重大意义。这次党纪学习教育，是加强党的纪律建设、推动全面从严治党向纵深发展的重要举措。我们要深刻认识开展党纪学习教育的重大意义，不断增强高质量完成党纪学习教育任务的政治自觉、思想自觉和行动自觉。要提高政治站位、深化思想认识、强化责任担当，深刻领悟这次党纪学习教育就是要以严明的纪律确保广大党员干部坚定拥护“两个确立”、坚决做到“两个维护”，自觉同以习近平同志为核心的党中央保持高度一致，知行知止、令行禁止，形成推进中国式现代化的强大动力和合力。我们要把开展党纪学习教育作为重要政治任务。要认真学习贯彻习近平总书记重要讲话精神，把开展党纪学习教育作为重要政治任务，把握目标要求，抓住学习重点，注重学用结合。认真学习贯彻新修订的《中国共产党纪律处分条例》，在学习贯彻《条例》上下功夫见成效。要坚持逐章逐条学、联系实际学，抓好以案促学、以训助学，推动《条例》入脑入心、深化《条例》理解运用，准确掌握《条例》的主旨要义和规定要求，进一步明确日常言行的衡量标尺，自觉用党规党纪校正思想和行动。我们要以良好作风保证党纪学习教育走深走实。习近平总书记对开展党纪学习教育高度重视，作出重要部署。我们要提高政治站位、扛起政治责任、抓好贯彻落实，以良好作风保证党纪学习教育走深走实，为推进强国建设、民族复兴伟业提供坚强纪律保障。开展好党纪学习教育，关键在一个“实”字，切实做到要求上要实、形式上要实、效果上要实。始终紧紧围绕重大任务和重点工作开展党纪学习教育，使之成为促进中心工作、为群众谋福利办实事的有力抓手，切实防止学归学、做归做，让党员干部在实践中深化理解、提高能力、锤炼党性。,0,0,0,上海,上海,上海,中国, 从严治党
9,5047620821061812,跃动金海,2024-06-21 08:34:07,#金海资讯##南湖见党史，红船忆初心！龙潭社区党支部开展主题党日活动# 为进一步深化党纪学习教育，筑牢廉政思想防线，推动全面从严治党向纵深发展，龙潭社区党支部于6月16日开展“悟思想之源 促清廉之风”主题党日活动，活动组织支部全体党员赴南湖革命纪念馆和南湖红廉馆参观学习。网页链接,0,0,0,,上海,上海,中国, 从严治党
9,5047616956006610,今日山阳,2024-06-21 08:18:44,6月20日上午，山阳镇党委书记刘成光率领导班子成员前往金山区反腐倡廉警示教育基地开展警示教育，深入学习贯彻习近平总书记关于全面从严治党的重要论述，以案为鉴、警钟长鸣，进一步坚定理想信念、筑牢政治忠诚，推动党纪学习教育走深走实。 山阳镇领导在区反腐倡廉警示教育基地开展警示教育 ,0,0,0,,上海,上海,中国, 从严治党
10,5047290358925698,奉贤柘林,2024-06-20 10:40:58,#目华新村社区党总支部开展&quot;学纪知纪明纪守纪 坚定不移全面从严治党&quot;主题党日活动#网页链接 ,0,0,0,,上海,上海,中国, 从严治党
11,5047281436855631,奉贤柘林,2024-06-20 10:05:31,#柘林镇召开党委理论学习中心组学习（扩大）会暨全面从严治党警示教育会#柘林镇召开党委理论学习中心组学习（扩大）会暨全面从严治党警示教育会 ,0,0,0,,上海,上海,中国, 从严治党
13,5046984734152074,妥妥小怪兽,2024-06-19 14:26:32,习近平总书记在二十届中央纪委三次全会上强调，惩治“蝇贪蚁腐”，让群众有更多获得感。全会要求坚决惩治群众身边腐败问题，瞄准教育、就业、医疗等民生领域的痛点难点开展集中整治，深化乡村振兴领域不正之风和腐败问题专项整治。整治群众身边不正之风和腐败问题，是推动全面从严治党向基层延伸的有力举措，是维护群众切身利益的有力行动，是提升基层治理效能的有力抓手，要紧密结合党纪学习教育，把成效体现在解决突出问题、回应群众关切上 开展群众身边不正之风和腐败问题集中整治工作，是推动全面从严治党向基层延伸，密切党同人民群众血肉联系的长期性任务，是关系党的执政根基的大事，也是群众期盼的实事。要紧密结合党纪学习教育，聚焦重点领域和关键环节，广泛收集问题线索，加强案件办理和专项整治，推动建立长效机制，确保取得扎实成效。,0,0,0,上海,上海,上海,中国, 从严治党
14,5046933045906983,上海残联,2024-06-19 11:01:08,【党纪学习教育｜注重警示教育，深化联组学习！市残联党纪学习教育进一步走深走实】近日，市残联前往市全面从严治党警示教育基地，开展党组理论学习中心组学习活动。大家通过观看“风腐一体”板块、沉浸式了解违纪违法典型案例等，一起重温了建党初期开展党的纪律建设的探索历程，感受了上海坚定不移全面从严治党、把纪律和规矩挺在前面的积极实践，纷纷表示，通过此次警示教育，受到了精神的洗礼和心灵的震撼，进一步锤炼了党性修养，擦亮了党员初心。详戳👉党纪学习教育｜注重警示教育，深化联组学习！市残联党纪学习教育进一步走深走实,0,0,1,,上海,上海,中国, 从严治党
19,5046203452494225,东方日记本,2024-06-17 10:42:00,上海是党的诞生地、初心始发地、伟大建党精神孕育地，也是中国共产党早期纪检监察制度孕育地。1926年8月，中共第四届中央扩大会议在上海召开，发布《坚决清洗贪污腐化分子》的通告，这是中国共产党第一个关于纪检监察方面的制度性文件，也是第一个惩治贪污腐化分子的文件，开启从严治党的历史。1927年，中央监察委员会成立，在血雨腥风和生死考验中，首届中共中央监察委员会十名成员，无一人叛党投敌。在这十位纪检监察先驱中，杨匏安、许白昊、张佐臣、杨培生就义于上海龙华，被称为“龙华四烈士”。网页链接,0,0,0,,上海,上海,中国, 从严治党
